"GeneID","Gene Name","Gene Category","Gene Class","DHS Support"
"ENSG00000263711.1","RP11-169F17.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000263620.1","RP11-599B13.6","others","protein coding mRNAs","dyadic"
"ENSG00000263563.1","UBBP4","others","protein coding mRNAs","no"
"ENSG00000263417.2","GTSCR1","others","protein coding mRNAs","no"
"ENSG00000263264.1","CTB-133G6.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000263203.1","CHTF8","others","protein coding mRNAs","no"
"ENSG00000263155.1","MYZAP","mRNA","protein coding mRNAs","promoter"
"ENSG00000263136.2","PAGR1","mRNA","protein coding mRNAs","promoter"
"ENSG00000263053.3","RP11-1055B8.6","mRNA","protein coding mRNAs","promoter"
"ENSG00000263020.1","CSNK2B-LY6G5B-1181","mRNA","protein coding mRNAs","promoter"
"ENSG00000263002.3","ZNF234","mRNA","protein coding mRNAs","promoter"
"ENSG00000262874.1","CTD-2616J11.4","mRNA","protein coding mRNAs","promoter"
"ENSG00000262814.2","MRPL12","mRNA","protein coding mRNAs","promoter"
"ENSG00000262730.1","RP11-1099M24.7","others","protein coding mRNAs","enhancer"
"ENSG00000262664.1","OVCA2","mRNA","protein coding mRNAs","promoter"
"ENSG00000262660.1","SLC25A10","mRNA","protein coding mRNAs","promoter"
"ENSG00000262633.1","RP11-156P1.2","mRNA","protein coding mRNAs","promoter"
"ENSG00000262621.2","NAA60","others","protein coding mRNAs","dyadic"
"ENSG00000262601.1","CTC-786C10.1","others","protein coding mRNAs","dyadic"
"ENSG00000262576.1","PCDHGA4","mRNA","protein coding mRNAs","promoter"
"ENSG00000262560.1","RP11-296A16.1","others","protein coding mRNAs","enhancer"
"ENSG00000262526.2","CTD-2545G14.7","others","protein coding mRNAs","no"
"ENSG00000262484.1","CTC-360G5.1","others","protein coding mRNAs","enhancer"
"ENSG00000262481.1","C17orf61-PLSCR3","mRNA","protein coding mRNAs","promoter"
"ENSG00000262304.1","SHPK","mRNA","protein coding mRNAs","promoter"
"ENSG00000262302.1","RP1-4G17.5","mRNA","protein coding mRNAs","promoter"
"ENSG00000262246.1","CORO7","mRNA","protein coding mRNAs","promoter"
"ENSG00000262209.1","PCDHGB3","mRNA","protein coding mRNAs","promoter"
"ENSG00000262180.1","OCLM","others","protein coding mRNAs","no"
"ENSG00000262003.1","RP11-676J12.7","others","protein coding mRNAs","enhancer"
"ENSG00000261949.1","CTD-3148I10.1","others","protein coding mRNAs","dyadic"
"ENSG00000261934.1","PCDHGA9","mRNA","protein coding mRNAs","promoter"
"ENSG00000261884.2","CTC-479C5.12","mRNA","protein coding mRNAs","promoter"
"ENSG00000261857.2","MIA","others","protein coding mRNAs","enhancer"
"ENSG00000261833.1","RP11-58C22.1","others","protein coding mRNAs","no"
"ENSG00000261832.1","CLN3","mRNA","protein coding mRNAs","promoter"
"ENSG00000261796.1","ISY1-RAB43","mRNA","protein coding mRNAs","promoter"
"ENSG00000261794.1","GOLGA8H","others","protein coding mRNAs","no"
"ENSG00000261787.1","TCF24","mRNA","protein coding mRNAs","promoter"
"ENSG00000261732.1","LA16c-431H6.6","others","protein coding mRNAs","no"
"ENSG00000261717.1","RP11-77K12.1","mRNA","protein coding mRNAs","promoter"
"ENSG00000261701.2","HPR","others","protein coding mRNAs","no"
"ENSG00000261667.1","RP11-520P18.5","mRNA","protein coding mRNAs","promoter"
"ENSG00000261652.2","C15orf65","mRNA","protein coding mRNAs","promoter"
"ENSG00000261611.3","AC010547.9","mRNA","protein coding mRNAs","promoter"
